Movie,Year,IMDb,Rating,Runtime,Genre
Star Wars: Episode II - Attack of the Clones,2002,6.6,PG,142,"Action, Adventure, Fantasy"
Pirates of the Caribbean: At World's End,2007,7.1,PG-13,169,"Action, Adventure, Fantasy"
Star Wars: Episode VI - Return of the Jedi,1983,8.3,PG,131,"Action, Adventure, Fantasy"
Independence Day,1996,7.0,PG-13,145,"Action, Adventure, Sci-Fi"
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,PG-13,143,"Action, Adventure, Fantasy"
Skyfall,2012,7.8,PG-13,143,"Action, Adventure, Thriller"
The Hobbit: An Unexpected Journey,2012,7.8,PG-13,169,"Adventure, Fantasy"
Harry Potter and the Half-Blood Prince,2009,7.6,PG,153,"Action, Adventure, Family"
The Twilight Saga: Eclipse,2010,5.0,PG-13,124,"Action, Adventure, Drama"
The Twilight Saga: New Moon,2009,4.7,PG-13,130,"Adventure, Drama, Fantasy"
Harry Potter and the Deathly Hallows: Part 1,2010,7.7,PG-13,146,"Adventure, Family, Fantasy"
The Sixth Sense,1999,8.2,PG-13,107,"Drama, Mystery, Thriller"
Up,2009,8.3,PG,96,"Animation, Adventure, Comedy"
Inception,2010,8.8,PG-13,148,"Action, Adventure, Sci-Fi"
The Twilight Saga: Breaking Dawn - Part 2,2012,5.5,PG-13,115,"Adventure, Drama, Fantasy"
Harry Potter and the Order of the Phoenix,2007,7.5,PG-13,138,"Action, Adventure, Family"
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,6.9,PG,143,"Adventure, Family, Fantasy"
Man of Steel,2013,7.1,PG-13,143,"Action, Adventure, Sci-Fi"
The Empire Strikes Back,1980,8.7,PG,124,"Action, Adventure, Fantasy"
Harry Potter and the Goblet of Fire,2005,7.7,PG-13,157,"Adventure, Family, Fantasy"
"Monsters, Inc.",2001,8.1,G,92,"Animation, Adventure, Comedy"
The Hunger Games: Mockingjay - Part 2,2015,6.5,PG-13,137,"Action, Adventure, Sci-Fi"
The Matrix Reloaded,2003,7.2,R,138,"Action, Sci-Fi"
The Twilight Saga: Breaking Dawn - Part 1,2011,4.9,PG-13,117,"Adventure, Drama, Fantasy"
Meet the Fockers,2004,6.3,PG-13,115,"Comedy, Romance"
The Hangover,2009,7.7,R,100,Comedy
Gravity,2013,7.7,PG-13,91,"Drama, Sci-Fi, Thriller"
The Grinch,2018,6.3,PG,85,"Animation, Comedy, Family"
Sing,2016,7.1,PG,108,"Animation, Comedy, Family"
Monsters University,2013,7.2,G,104,"Animation, Adventure, Comedy"
Shrek,2001,7.9,PG,90,"Animation, Adventure, Comedy"
Despicable Me 3,2017,6.2,PG,89,"Animation, Adventure, Comedy"
The Amazing Spider-Man,2012,6.9,PG-13,136,"Action, Adventure, Sci-Fi"
Harry Potter and the Chamber of Secrets,2002,7.4,PG,161,"Adventure, Family, Fantasy"
How the Grinch Stole Christmas,2000,6.2,PG,104,"Comedy, Family, Fantasy"
Captain America: The Winter Soldier,2014,7.8,PG-13,136,"Action, Adventure, Sci-Fi"
The Hobbit: The Desolation of Smaug,2013,7.8,PG-13,161,"Adventure, Fantasy"
The Lego Movie,2014,7.7,PG,100,"Animation, Action, Adventure"
Star Trek,2009,7.9,PG-13,127,"Action, Adventure, Sci-Fi"
I Am Legend,2007,7.2,PG-13,101,"Action, Drama, Sci-Fi"
The Blind Side,2009,7.6,PG-13,129,"Biography, Drama, Sport"
The Hobbit: The Battle of the Five Armies,2014,7.4,PG-13,144,"Adventure, Fantasy"
The Hangover Part II,2011,6.4,R,102,Comedy
Despicable Me,2010,7.6,PG,95,"Animation, Adventure, Comedy"
Night at the Museum,2006,6.4,PG,108,"Adventure, Comedy, Family"
Men in Black,1997,7.3,PG-13,98,"Action, Adventure, Comedy"
Harry Potter and the Prisoner of Azkaban,2004,7.9,PG,142,"Adventure, Family, Fantasy"
Moana,2016,7.6,PG,107,"Animation, Adventure, Comedy"
Raiders of the Lost Ark,1981,8.4,PG,115,"Action, Adventure"
Transformers: Age of Extinction,2014,5.6,PG-13,165,"Action, Adventure, Sci-Fi"
Bruce Almighty,2003,6.8,PG-13,101,"Comedy, Fantasy"
My Big Fat Greek Wedding,2002,6.6,PG,95,"Comedy, Drama, Romance"
Maleficent,2014,6.9,PG,97,"Adventure, Family, Fantasy"
Pirates of the Caribbean: On Stranger Tides,2011,6.6,PG-13,137,"Action, Adventure, Fantasy"
Furious 6,2013,7.0,PG-13,130,"Action, Crime, Thriller"
Shrek Forever After,2010,6.3,PG,95,"Animation, Adventure, Comedy"
Brave,2012,7.1,PG,93,"Animation, Adventure, Comedy"
Oz the Great and Powerful,2013,6.3,PG,130,"Adventure, Family, Fantasy"
X-Men: The Last Stand,2006,6.6,PG-13,104,"Action, Adventure, Sci-Fi"
War of the Worlds,2005,6.5,PG-13,116,"Action, Adventure, Sci-Fi"
Fantastic Beasts and Where to Find Them,2016,7.2,PG-13,132,"Adventure, Family, Fantasy"
X-Men: Days of Future Past,2014,7.9,PG-13,132,"Action, Adventure, Sci-Fi"
Cast Away,2000,7.8,PG-13,143,"Adventure, Drama, Romance"
The Exorcist,1973,8.1,R,122,Horror
Doctor Strange,2016,7.5,PG-13,115,"Action, Adventure, Fantasy"
The Lost World: Jurassic Park,1997,6.5,PG-13,129,"Action, Adventure, Sci-Fi"
Justice League,2017,6.1,PG-13,120,"Action, Adventure, Fantasy"
Star Trek Into Darkness,2013,7.7,PG-13,132,"Action, Adventure, Sci-Fi"
The Martian,2015,8.0,PG-13,144,"Adventure, Drama, Sci-Fi"
Signs,2002,6.8,PG-13,106,"Drama, Mystery, Sci-Fi"
Hancock,2008,6.4,PG-13,92,"Action, Drama, Fantasy"
The Bourne Ultimatum,2007,8.0,PG-13,115,"Action, Mystery, Thriller"
Logan,2017,8.1,R,137,"Action, Drama, Sci-Fi"
Rush Hour 2,2001,6.6,PG-13,90,"Action, Comedy, Crime"
The Fate of the Furious,2017,6.6,PG-13,136,"Action, Crime, Thriller"
Shang-Chi and the Legend of the Ten Rings,2021,7.4,PG-13,132,"Action, Adventure, Fantasy"
Big Hero 6,2014,7.8,PG,102,"Animation, Action, Adventure"
Mission: Impossible - Fallout,2018,7.7,PG-13,147,"Action, Adventure, Thriller"
National Treasure: Book of Secrets,2007,6.5,PG,124,"Action, Adventure, Mystery"
Alvin and the Chipmunks: The Squeakquel,2009,4.5,PG,88,"Animation, Adventure, Comedy"
Mrs. Doubtfire,1993,7.1,PG-13,125,"Comedy, Drama"
Ted,2012,6.9,R,106,Comedy
King Kong,2005,7.2,PG-13,187,"Action, Adventure, Drama"
How to Train Your Dragon,2010,8.1,PG,98,"Animation, Action, Adventure"
The Da Vinci Code,2006,6.6,PG-13,149,"Mystery, Thriller"
Alvin and the Chipmunks,2007,5.2,PG,92,"Adventure, Comedy, Drama"
Ant-Man and the Wasp,2018,7.0,PG-13,118,"Action, Adventure, Comedy"
Saving Private Ryan,1998,8.6,R,169,"Drama, War"
Bohemian Rhapsody,2018,7.9,PG-13,134,"Biography, Drama, Music"
Madagascar 3: Europe's Most Wanted,2012,6.8,PG,95,"Animation, Adventure, Comedy"
Kung Fu Panda,2008,7.6,PG,92,"Animation, Action, Adventure"
Mission: Impossible II,2000,6.1,PG-13,123,"Action, Adventure, Thriller"
A Star Is Born,2018,7.6,R,136,"Drama, Music, Romance"
X2,2003,7.4,PG-13,134,"Action, Adventure, Sci-Fi"
The Lorax,2012,6.4,PG,86,"Animation, Adventure, Comedy"
Solo: A Star Wars Story,2018,6.9,PG-13,135,"Action, Adventure, Sci-Fi"
Venom: Let There Be Carnage,2021,5.9,PG-13,97,"Action, Adventure, Sci-Fi"
Venom,2018,6.6,PG-13,112,"Action, Adventure, Sci-Fi"
Austin Powers in Goldmember,2002,6.2,PG-13,94,"Action, Adventure, Comedy"
It Chapter Two,2019,6.5,R,169,"Drama, Fantasy, Horror"
300,2006,7.6,R,117,"Action, Drama"
Fast Five,2011,7.3,PG-13,130,"Action, Crime, Thriller"
Coco,2017,8.4,PG,105,"Animation, Adventure, Comedy"
Mission: Impossible - Ghost Protocol,2011,7.4,PG-13,132,"Action, Thriller"
Wedding Crashers,2005,7.0,R,119,"Comedy, Romance"
Sherlock Holmes,2009,7.6,PG-13,128,"Action, Adventure, Mystery"
Dawn of the Planet of the Apes,2014,7.6,PG-13,130,"Action, Adventure, Drama"
Batman Begins,2005,8.2,PG-13,140,"Action, Crime, Drama"
Charlie and the Chocolate Factory,2005,6.7,PG,115,"Adventure, Comedy, Family"
Ratatouille,2007,8.1,G,111,"Animation, Adventure, Comedy"
Thor: The Dark World,2013,6.8,PG-13,112,"Action, Adventure, Fantasy"
Bad Boys for Life,2020,6.5,R,124,"Action, Comedy, Crime"
Austin Powers: The Spy Who Shagged Me,1999,6.6,PG-13,95,"Action, Adventure, Comedy"
Terminator 2: Judgment Day,1991,8.6,R,137,"Action, Sci-Fi"
The Amazing Spider-Man 2,2014,6.6,PG-13,142,"Action, Adventure, Sci-Fi"
World War Z,2013,7.0,PG-13,116,"Action, Adventure, Horror"
The Mummy Returns,2001,6.4,PG-13,130,"Action, Adventure, Fantasy"
Armageddon,1998,6.7,PG-13,151,"Action, Adventure, Sci-Fi"
Cinderella,2015,6.9,PG,105,"Adventure, Drama, Family"
Ralph Breaks the Internet,2018,7.0,PG,112,"Animation, Adventure, Comedy"
Tangled,2010,7.7,PG,100,"Animation, Adventure, Comedy"
Godzilla,2014,6.4,PG-13,123,"Action, Adventure, Sci-Fi"
Superman Returns,2006,6.1,PG-13,154,"Action, Adventure, Sci-Fi"
Spectre,2015,6.8,PG-13,148,"Action, Adventure, Thriller"
Pearl Harbor,2001,6.2,PG-13,183,"Action, Drama, History"
Monsters vs. Aliens,2009,6.4,PG,94,"Animation, Action, Adventure"
Happy Feet,2006,6.4,PG,108,"Animation, Adventure, Comedy"
Indiana Jones and the Last Crusade,1989,8.2,PG-13,127,"Action, Adventure"
Ice Age: Dawn of the Dinosaurs,2009,6.9,PG,94,"Animation, Adventure, Comedy"
Ice Age: The Meltdown,2006,6.8,PG,91,"Animation, Adventure, Comedy"
Mission: Impossible - Rogue Nation,2015,7.4,PG-13,131,"Action, Adventure, Thriller"
Madagascar,2005,6.9,PG,86,"Animation, Adventure, Comedy"
22 Jump Street,2014,7.0,R,112,"Action, Comedy, Crime"
Twilight,2008,5.3,PG-13,122,"Drama, Fantasy, Romance"
Cars 2,2011,6.2,G,106,"Animation, Adventure, Comedy"
Teenage Mutant Ninja Turtles,2014,5.8,PG-13,101,"Action, Adventure, Comedy"
Men in Black II,2002,6.1,PG-13,88,"Action, Adventure, Comedy"
Spider-Man: Into the Spider-Verse,2018,8.4,PG,117,"Animation, Action, Adventure"
Wreck-It Ralph,2012,7.7,PG,101,"Animation, Adventure, Comedy"
Grease,1978,7.2,PG,110,"Comedy, Musical, Romance"
Dunkirk,2017,7.8,PG-13,106,"Action, Drama, History"
A Quiet Place,2018,7.5,PG-13,90,"Drama, Horror, Sci-Fi"
